FJ2998	Superior branch of right superior segmental artery
FJ2999	Superior branch of right superior segmental artery
FJ3000	Anterior part of right apical segmental artery
FJ3001	Lateral branch of right anterior basal segmental artery
FJ3002	Basal branch of right anterior basal segmental artery
FJ3003	Basal branch of right anterior basal segmental artery
FJ3004	Lateral branch of right lateral basal segmental artery
FJ3005	Lateral branch of right lateral basal segmental artery
FJ3006	Lateral branch of right lateral basal segmental artery
FJ3007	Lateral branch of right lateral basal segmental artery
FJ3008	Mediobasal branch of right posterior basal segmental artery
FJ3009	Accessory subsuperior branch of right posterior basal segmental artery
FJ3010	Accessory subsuperior branch of right posterior basal segmental artery
FJ3011	Anterior part of right apical segmental artery
FJ3012	Mediobasal branch of right posterior basal segmental artery
FJ3013	Laterobasal branch of right posterior basal segmental artery
FJ3014	Laterobasal branch of right posterior basal segmental artery
FJ3015	Apical part of right apical segmental artery
FJ3016	Apical part of right apical segmental artery
FJ3017	Apical part of right apical segmental artery
FJ3018	Apical part of right posterior segmental artery
FJ3019	Right pulmonary artery
FJ3075	Anterior inferior segmental hepatic artery
FJ3076	Anterior superior segmental hepatic artery
FJ3077	Caudate lobe branch of left hepatic artery
FJ3078	Common hepatic artery
FJ3081	Hepatic artery proper
FJ3091	Lateral superior segmental hepatic artery
FJ3092	Lateral inferior segmental hepatic artery
FJ3093	Lateral superior segmental hepatic artery
FJ3095	Trunk of left hepatic artery
FJ3106	Medial inferior segmental hepatic artery
FJ3107	Medial superior segmental hepatic artery
FJ3114	Posterior inferior segmental hepatic artery
FJ3115	Posterior superior segmental hepatic artery
FJ3116	Posterior superior segmental hepatic artery
FJ3117	Trunk of right hepatic artery
FJ3399	Ascending branch of left colic artery
FJ3401	Anterior inferior pancreaticoduodenal artery
FJ3406	Anterior cecal artery
FJ3409	Anterior superior pancreaticoduodenal artery
FJ3410	Appendicular artery
FJ3411	Arch of aorta
FJ3413	Ascending aorta
FJ3414	Ascending branch of inferior branch of ileocolic artery
FJ3417	Brachiocephalic artery
FJ3418	Bronchial branch of arch of aorta
FJ3419	Caudal pancreatic artery
FJ3420	Splenic artery
FJ3421	Celiac trunk
FJ3427	Descending aorta
FJ3428	Descending branch of left colic artery
FJ3430	Dorsal pancreatic artery
FJ3431	Set of oesophageal branches of thoracic aorta
FJ3432	Trunk of gastroduodenal artery
FJ3433	Great pancreatic artery
FJ3437	Ileal artery
FJ3439	Ileocolic artery
FJ3442	Inferior mesenteric artery
FJ3444	Inferior pancreatic artery
FJ3446	Inferior pancreaticoduodenal artery
FJ3458	Anterior division of left renal artery
FJ3459	Anterior division of left renal artery
FJ3460	Anterior division of left renal artery
FJ3461	Anterior division of left renal artery
FJ3462	Anterior division of left renal artery
FJ3463	Anterior division of left renal artery
FJ3464	Left common iliac artery
FJ3466	Left external iliac artery
FJ3467	Left inferior suprarenal artery
FJ3468	Left internal iliac artery
FJ3472	Left middle suprarenal artery
FJ3473	Posterior division of left renal artery
FJ3474	Posterior division of left renal artery
FJ3475	Posterior division of left renal artery
FJ3476	Trunk of left renal artery
FJ3479	Left subclavian artery
FJ3481	Ureteric segment of left renal artery
FJ3483	Left common carotid artery
FJ3494	Left colic artery
FJ3496	Left dorsal artery of penis
FJ3497	Left dorsal artery of penis
FJ3499	Left gastric artery
FJ3501	Left gastro-epiploic artery
FJ3511	Left inferior epigastric artery
FJ3514	Left inferior phrenic artery
FJ3515	Left inferior phrenic artery
FJ3516	Left inferior phrenic artery
FJ3517	Left inferior phrenic artery
FJ3518	Left inferior phrenic artery
FJ3519	Left inferior phrenic artery
FJ3520	Left inferior phrenic artery
FJ3529	Left superficial epigastric artery
FJ3532	Left testicular artery
FJ3534	Marginal artery of colon
FJ3542	Middle colic artery
FJ3544	Splenic artery
FJ3546	Posterior inferior pancreaticoduodenal artery
FJ3553	Posterior cecal artery
FJ3557	Posterior superior pancreaticoduodenal artery
FJ3558	Anterior division of right renal artery
FJ3559	Anterior division of right renal artery
FJ3560	Anterior division of right renal artery
FJ3561	Anterior division of right renal artery
FJ3562	Anterior division of right renal artery
FJ3563	Anterior division of right renal artery
FJ3564	Right common carotid artery
FJ3565	Right common iliac artery
FJ3567	Right external iliac artery
FJ3569	Right internal iliac artery
FJ3573	Posterior division of right renal artery
FJ3574	Posterior division of right renal artery
FJ3575	Posterior division of right renal artery
FJ3576	Trunk of right renal artery
FJ3579	Right subclavian artery
FJ3581	Ureteric segment of right renal artery
FJ3582	Ureteric segment of right renal artery
FJ3584	Right inferior suprarenal artery
FJ3586	Right middle suprarenal artery
FJ3590	Right colic artery
FJ3592	Right dorsal artery of penis
FJ3593	Right dorsal artery of penis
FJ3594	Right gastric artery
FJ3596	Right gastro-epiploic artery
FJ3604	Right inferior epigastric artery
FJ3614	Right superficial epigastric artery
FJ3617	Right testicular artery
FJ3619	Right inferior phrenic artery
FJ3620	Right inferior phrenic artery
FJ3621	Right inferior phrenic artery
FJ3622	Right inferior phrenic artery
FJ3623	Right inferior phrenic artery
FJ3624	Right inferior phrenic artery
FJ3625	Right inferior phrenic artery
FJ3626	Right inferior phrenic artery
FJ3632	Lumbar artery
FJ3636	Lumbar artery
FJ3638	Sigmoid artery
FJ3640	Splenic artery
FJ3644	Trunk of superior mesenteric artery
FJ3656	Superior rectal artery
